spot,strike,volatility,rate,expiry,price,bs_price
103.09,116.284,0.283828,0.0142009,0.284488,2.09352,2.09645
117.267,118.576,0.120026,0.0278589,1.9851,10.5435,10.5281
104.36,88.6663,0.257938,0.0465032,1.96746,28.1453,28.1258
103.264,94.2443,0.113354,0.0352499,1.11887,13.4823,13.4732
89.3918,103.552,0.381546,0.0257429,1.27059,11.2674,11.2857
119.222,84.5133,0.189167,0.0480047,0.934472,38.4853,38.5233
93.4516,82.8,0.369206,0.0215904,1.38125,22.3559,22.3466
98.5813,92.4875,0.250657,0.0374427,0.975137,14.694,14.6959
115.146,86.7705,0.190764,0.0262989,1.02429,31.0809,31.118
109.865,93.6155,0.317477,0.020009,0.466348,19.7991,19.8279
110.824,82.7751,0.325865,0.0462279,1.44161,36.8975,36.8775
108.836,81.5882,0.193653,0.0373122,1.19602,31.3081,31.2918
101.064,104.898,0.47139,0.0132749,1.96815,25.7751,25.7705
94.0128,107.48,0.109481,0.0157592,0.777579,0.47657,0.477633
115.224,87.7757,0.445409,0.0454045,1.53901,42.0449,41.9695
92.0649,107.425,0.212427,0.0362051,1.86945,7.41541,7.43299
89.3704,92.7723,0.365403,0.0369779,0.178953,4.31411,4.3066
84.662,88.6884,0.40279,0.024615,1.95927,18.848,18.8514
95.0239,118.721,0.202541,0.015729,0.908098,1.45797,1.44972
112.028,101.363,0.237477,0.0122479,0.555089,14.4787,14.4945
117.894,89.8926,0.440682,0.0429596,1.23193,40.048,39.9738
89.9007,106.064,0.239735,0.0435043,1.63061,7.5506,7.56467
84.4674,93.9377,0.180754,0.0115792,0.445281,1.19999,1.20224
110.374,119.272,0.127352,0.0153869,0.239985,0.413286,0.414434
118.808,91.3715,0.291146,0.0250025,1.70587,35.7169,35.8422
87.5705,115.83,0.217055,0.0459874,1.16744,2.04279,2.04336
91.0795,115.759,0.13163,0.0146569,1.42855,0.597957,0.596608
92.2931,95.1856,0.19408,0.0492747,0.567488,5.25437,5.25337
86.9756,80.2761,0.14562,0.025797,0.520344,8.65548,8.65948
100.453,94.3202,0.138772,0.0494072,1.85385,16.4377,16.4276
106.972,100.716,0.46146,0.0139679,0.314054,14.3127,14.339
97.5372,93.3713,0.323075,0.0359102,1.63304,20.3627,20.3745
101.819,93.3608,0.422386,0.0415276,0.168772,12.2126,12.2346
95.233,119.642,0.233265,0.0113643,0.148522,0.0179023,0.0180731
82.1981,119.264,0.237544,0.0428688,0.964627,0.79266,0.793281
101.36,119.243,0.120893,0.0353123,1.92413,3.19422,3.18079
89.6093,102.392,0.259689,0.0146615,0.706817,3.71332,3.71154
106.104,116.161,0.258999,0.0446983,1.44362,11.9766,11.9394
119.77,86.7657,0.453451,0.0254442,0.61147,37.5281,37.5772
